"created_at","updated_at","name","display_name"
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"architecture",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"arts",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"building and grounds cleaning",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"business and financial",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"community and social service",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"computer and technology",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"construction and extraction",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"design",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"education",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"engineering",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"entertainment and sports",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"farming",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"fishing and forestry",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"food preparation and serving",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"healthcare",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"installation maintenance and repair",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"legal",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"life",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"management",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"math",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"media and communication",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"military",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"office and administrative support",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"personal care and service",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"physical and social science",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"production",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"protective service",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"sales",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"training and library",""
'2022-11-05 23:30:47.342','2022-11-05 23:30:47.342',"transportation and material moving",""
